timestamp,omega_x,omega_y,omega_z,alpha_x,alpha_y,alpha_z
1739402300538000000,0.128897,0.22690132,0.014913702,-1.34195,0.7673417,9.040505
1739402300542000000,0.128897,0.22690132,0.014913702,-1.34195,0.7673417,9.040505
1739402300545000000,0.128897,0.20879184,0.014913702,-1.2976574,0.8535329,9.0237465
1739402300550000000,0.13422333,0.18642128,0.00958738,-1.2808979,0.88944596,8.963891
1739402300553000000,0.13422333,0.18642128,0.00958738,-1.2808979,0.88944596,8.963891
1739402300558000000,0.15126756,0.12676647,-0.020240024,-1.1480197,0.9792285,8.89446
1739402300563000000,0.15126756,0.12676647,-0.020240024,-1.1480197,0.9792285,8.89446
1739402300569000000,0.17576863,0.06178534,-0.06711166,-1.1611878,1.043872,9.011775
1739402300574000000,0.17576863,0.06178534,-0.06711166,-1.1611878,1.043872,9.011775
1739402300576000000,0.17576863,0.06178534,-0.06711166,-1.1611878,1.043872,9.011775
1739402300582000000,0.20133498,0.008522116,-0.10546118,-1.2569559,0.9672575,9.1350765
1739402300591000000,0.2034655,-0.013848438,-0.11504856,-1.447295,0.8355764,9.221268
1739402300595000000,0.19281286,-0.0053263223,-0.111852765,-1.5215151,0.80086046,9.2907
1739402300600000000,0.17789917,0.014913702,-0.10546118,-1.5981296,0.7697359,9.348161
1739402300601000000,0.17789917,0.014913702,-0.10546118,-1.5981296,0.7697359,9.348161
