#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1740627646070004992,-0.0010652645,0.0010652645,1e-10,-0.6715736,-0.06943185,9.539697
1740627646080945152,0.0031957934,0.0010652645,-0.002130529,-0.6452374,-0.073023155,9.561244
1740627646090663680,0.002130529,0.0010652645,1e-10,-0.65242,-0.076614454,9.536105
1740627646100095488,0.002130529,0.002130529,1e-10,-0.6811504,-0.06344634,9.51336
1740627646110004480,0.0010652645,0.002130529,-0.0010652645,-0.6811504,-0.076614454,9.566033
1740627646121351424,0.002130529,0.002130529,-0.0010652645,-0.6560113,-0.074220255,9.5492735
1740627646130933504,0.002130529,0.002130529,-0.0010652645,-0.6775591,-0.07062895,9.557653
1740627646142427392,1e-10,0.002130529,-0.0010652645,-0.6607997,-0.059855044,9.562442
1740627646157694464,1e-10,0.0010652645,-0.0010652645,-0.6679823,-0.090979666,9.555259
1740627646168410368,0.002130529,0.0010652645,0.0010652645,-0.6631939,-0.07182605,9.579201
1740627646182501376,0.002130529,0.0031957934,1e-10,-0.664391,-0.06344634,9.5385
1740627646191146752,0.0010652645,1e-10,1e-10,-0.6775591,-0.079008654,9.598354
1740627646200143872,0.002130529,0.0031957934,-0.002130529,-0.6667852,-0.06943185,9.55047
1740627646212367872,0.0031957934,0.0010652645,-0.0010652645,-0.6679823,-0.108936176,9.537302
1740627646220572928,0.002130529,0.0010652645,-0.002130529,-0.6560113,-0.08619126,9.556456
1740627646231109888,0.002130529,1e-10,1e-10,-0.6572084,-0.077811554,9.53012
1740627646241542912,0.0031957934,0.002130529,-0.0010652645,-0.6775591,-0.06584055,9.56723
1740627646251190784,0.002130529,0.0010652645,-0.0010652645,-0.664391,-0.076614454,9.589975
1740627646261565440,0.0010652645,0.002130529,1e-10,-0.6715736,-0.053869538,9.5492735
1740627646266683648,0.0010652645,0.0010652645,1e-10,-0.6835446,-0.05746084,9.514558
1740627646281449728,0.0031957934,1e-10,-0.0010652645,-0.6560113,-0.092176765,9.520543
1740627646291511040,0.0010652645,0.002130529,-0.0010652645,-0.6488287,-0.093373865,9.570822
1740627646302075392,0.002130529,0.004261058,-0.002130529,-0.6715736,-0.07062895,9.53012
1740627646312657920,0.002130529,0.0031957934,-0.0010652645,-0.6895301,-0.08259996,9.5253315
1740627646321506304,0.002130529,0.0010652645,-0.0010652645,-0.65242,-0.06823475,9.560047
1740627646331066112,0.002130529,0.002130529,-0.0010652645,-0.6631939,-0.06703765,9.544485
1740627646341538560,0.002130529,0.0031957934,-0.0010652645,-0.6655881,-0.049081136,9.507375
1740627646390827776,0.0010652645,0.0010652645,0.002130529,-0.6811504,-0.074220255,9.53012
1740627646401442560,0.0010652645,0.002130529,0.0010652645,-0.6703765,-0.076614454,9.551667
1740627646410300672,-0.0010652645,1e-10,0.0010652645,-0.6679823,-0.08259996,9.545682
1740627646421651200,0.0031957934,0.0010652645,0.0010652645,-0.6691794,-0.06823475,9.576807
1740627646431050752,1e-10,1e-10,0.0010652645,-0.6703765,-0.08738836,9.55047
1740627646441437696,0.002130529,1e-10,0.0010652645,-0.6679823,-0.076614454,9.545682
1740627646451101952,0.002130529,1e-10,1e-10,-0.6476316,-0.06344634,9.581595
1740627646460961280,0.0010652645,0.0010652645,1e-10,-0.6548142,-0.074220255,9.564836
1740627646472159488,0.0010652645,1e-10,1e-10,-0.6991069,-0.08379706,9.532514
1740627646481340160,-0.0010652645,0.0010652645,0.0010652645,-0.6619968,-0.08619126,9.53012
1740627646490696192,0.0010652645,1e-10,1e-10,-0.6584055,-0.08140286,9.570822
1740627646500851712,0.0010652645,0.0010652645,0.0010652645,-0.6715736,-0.08738836,9.555259
1740627646510633472,0.002130529,0.0010652645,0.0010652645,-0.6691794,-0.08379706,9.580399
1740627646521008896,0.0010652645,0.0010652645,0.0010652645,-0.6751649,-0.076614454,9.555259
1740627646531520512,0.0010652645,1e-10,1e-10,-0.6631939,-0.07062895,9.546879
1740627646541157120,1e-10,0.0010652645,0.0010652645,-0.6536171,-0.06584055,9.5732155
1740627646550943744,0.002130529,1e-10,0.0010652645,-0.6560113,-0.09816227,9.544485
1740627646563743232,1e-10,1e-10,0.0010652645,-0.6703765,-0.090979666,9.574412
1740627646563754496,1e-10,1e-10,0.0010652645,-0.6703765,-0.090979666,9.574412
